voyage_dates__voyage_began	CharField	"Date that voyage began DATEDEPB,A,C"
voyage_dates__slave_purchase_began	CharField	"Date that slave purchase began D1SLATRB,A,C"
voyage_dates__vessel_left_port	CharField	"Date that vessel left last slaving port DLSLATRB,A,C"
voyage_dates__first_dis_of_slaves	CharField	"Date of first disembarkation of slaves DATARR33,32,34"
voyage_dates__date_departed_africa	CharField	Date vessel departed Africa DATELEFTAFR
voyage_dates__arrival_at_second_place_landing	CharField	"Date of arrival at second place of landing DATARR37,36,38"
voyage_dates__third_dis_of_slaves	CharField	"Date of third disembarkation of slaves DATARR40,39,41"
voyage_dates__departure_last_place_of_landing	CharField	"Date of departure from last place of landing DDEPAMB,*,C"
voyage_dates__voyage_completed	CharField	"Date on which slave voyage completed DATARR44,43,45"
voyage_dates__imp_voyage_began	CharField	Year voyage began
voyage_dates__imp_departed_africa	CharField	Year departed Africa
voyage_dates__imp_arrival_at_port_of_dis	CharField	Year of arrival at port of disembarkation YEARAM
voyage_ship__ship_name	CharField	Name of vessel
voyage_sources__full_ref	CharField	Full reference
voyage_captain__name	CharField	Captains name
voyage_ship__rig_of_vessel	CharField	Rig of vessel
voyage_ship__guns_mounted	CharField	Guns mounted
voyage_sources__source_type	CharField	Source type
voyage_ship_owner__name	CharField	Owner name
voyage_outcomes__outcome_owner	CharField	Owner outcome
voyage_outcomes__outcome_slaves	CharField	Outcome slaves
voyage_outcomes__particular_outcome	CharField	Particular Outcome
voyage_outcomes__resistance	CharField	Resistance
voyage_outcomes__vessel_captured_outcome	CharField	Vessel Captured Outcome
voyage_ship__imputed_nationality	CharField Imputed nationality	
voyage_ship__tonnage_mod	DecimalField	Tonnage standardized on British measured tons 1773-1870
voyage_slaves_numbers__imp_jamaican_cash_price	DecimalField	Sterling cash price in Jamaica* imputed
voyage_itinerary__imp_jamaican_cash_price	DecimalField	Sterling cash price in Jamaica* imputed
voyage_slaves_numbers__percentage_boys_among_embarked_slaves	FloatField	Percentage of boys among embarked slaves BOYRAT1
voyage_slaves_numbers__child_ratio_among_embarked_slaves	FloatField	Child ratio among embarked slaves CHILRAT1
voyage_slaves_numbers__percentage_girls_among_embarked_slaves	FloatField	Percentage of girls among embarked slaves GIRLRAT1
voyage_slaves_numbers__male_ratio_among_embarked_slaves	FloatField	Male ratio among embarked slaves MALRAT1
voyage_slaves_numbers__percentage_men_among_embarked_slaves	FloatField	Percentage of men among embarked slaves MENRAT1
voyage_slaves_numbers__percentage_women_among_embarked_slaves	FloatField	Percentage of women among embarked slaves WOMRAT1
voyage_slaves_numbers__percentage_boys_among_landed_slaves	FloatField	Percentage of boys among landed slaves BOYRAT3
voyage_slaves_numbers__child_ratio_among_landed_slaves	FloatField	Child ratio among landed slaves CHILRAT3
voyage_slaves_numbers__percentage_girls_among_landed_slaves	FloatField	Percentage of girls among landed slaves GIRLRAT3
voyage_slaves_numbers__male_ratio_among_landed_slaves	FloatField	Male ratio among landed slaves MALRAT3
voyage_slaves_numbers__percentage_men_among_landed_slaves	FloatField	Percentage of men among landed slaves MENRAT3
voyage_slaves_numbers__percentage_women_among_landed_slaves	FloatField	Percentage of women among landed slaves WOMRAT3
voyage_slaves_numbers__percentage_men	FloatField	Percentage men on voyage MENRAT7
voyage_slaves_numbers__percentage_women	FloatField	Percentage women on voyage WOMRAT7
voyage_slaves_numbers__percentage_boy	FloatField	Percentage boy on voyage BOYRAT7
voyage_slaves_numbers__percentage_girl	FloatField	Percentage girl on voyage GIRLRAT7
voyage_slaves_numbers__percentage_male	FloatField	Percentage male on voyage MALRAT7
voyage_slaves_numbers__percentage_child	FloatField	Percentage children on voyage CHILRAT7
voyage_slaves_numbers__percentage_adult	FloatField	Percentage adult on voyage
voyage_slaves_numbers__percentage_female	FloatField	Percentage female on voyage
voyage_slaves_numbers__imp_mortality_ratio	FloatField	Imputed mortality ratio VYMRTRAT
voyage_itinerary__percentage_boys_among_embarked_slaves	FloatField	Percentage of boys among embarked slaves BOYRAT1
voyage_itinerary__child_ratio_among_embarked_slaves	FloatField	Child ratio among embarked slaves CHILRAT1
voyage_itinerary__percentage_girls_among_embarked_slaves	FloatField	Percentage of girls among embarked slaves GIRLRAT1
voyage_itinerary__male_ratio_among_embarked_slaves	FloatField	Male ratio among embarked slaves MALRAT1
voyage_itinerary__percentage_men_among_embarked_slaves	FloatField	Percentage of men among embarked slaves MENRAT1
voyage_itinerary__percentage_women_among_embarked_slaves	FloatField	Percentage of women among embarked slaves WOMRAT1
voyage_itinerary__percentage_boys_among_landed_slaves	FloatField	Percentage of boys among landed slaves BOYRAT3
voyage_itinerary__child_ratio_among_landed_slaves	FloatField	Child ratio among landed slaves CHILRAT3
voyage_itinerary__percentage_girls_among_landed_slaves	FloatField	Percentage of girls among landed slaves GIRLRAT3
voyage_itinerary__male_ratio_among_landed_slaves	FloatField	Male ratio among landed slaves MALRAT3
